,"С учетом кризиса и курса он обычному водителю может и подойдет, но если нужен бюджетный навигатор-купите китайский планшет и поставьте карты. Данный навигатор яркая халтура украинского производства. Заявленные функции работают на 10% и своей главное цели он не служит. Карты с учетом самых последних обновлений приведут Вас в Бобруйск, а возможности мультимедия обрадуют только тех людей, у которых дома нет телевизора и ПК."
,"Лучше добавит и купить Асистант (и планшет и навигатор и телефон все в одном )"
,"Отвратительное устройство. Причем это касается самого навигатора а не навигации. Приобретал в розетке осенью по промо коду, была хорошая скидка. По началу работал нормально, спутники ловил быстро. Однако минусы заметил с первых дней: 1) Крепление навигатора всегда закрывает часть картинки регистратора. 2) Радио трансмитер передает сигнал с большими потерями, звук отвратительный. 3) Сенсорный экран медленно отрабатывает на прикосновения. А Неделю назад навигатор стал плохо ловить спутники и терять их периодически. Причем я его не ранял и не перенастраивал, не обновлял и т.д. А сегодня он просто потух и больше не включился. Когда я его легонько, совсем легонько постукал об ладонь - в углу экрана потекли кристаллы."
,"два дня в эксплуатации... пока никакой радости, одни проблемы"
4,"В цілому задоволений"
,"Не самое удачное решение. Было бы нормально если бы камера была бы поворотная, а так то в навигатор смотреть не удобно, то видеорегистратор снимает не то что нужно (смотрит в сторону)."
,"Покатался с ним и понял, что камера в навигаторе не лучшая идея. Дело в том, что иногда регистратор нужно пвернуть так, чтобы он был направлен в сторону движения, но тогда экран навигатора расположен под неудобным углом к водителю. Вообщем лучше покупать отдельно навигатор и отдельно видеорегистратор. Это проверено на практике."
,"оптимальная цена"
,"Батарея реально держит заряд 15 минут. Крепление не рассчитано на регистратор (в картинке крепление) В остальном все работает хорошо"
,"подскажите как на счот просмотра фильмов!!!не тормозит"
,"а идет крепление к нему??"
,"Чи точна навігація по місту?"
4,"В целом хорошая машинка"
,"Скажіть, будь ласка, чи потрібно купляти до нього окрему карту з картами інших країн?"
,"работает хорошо. спутники ловит быстро. народ, СНИМАЙТЕ ПЛЕНОЧКУ С КАМЕРЫ!!! Она там есть! Мягенькая и тонкая!"
,"Год прошел. Никаких нареканий не возникло. Затупил чуть с обновлением, что постирал все, но заехал в сервис и мне все восстановили за 5 минут. Полностью доволен. Спасибо розетке."
,"Навгатор должен стоять прямо, тогда будет четко снимать всю дорогу и не будет заметно держателя. если закрепить чуть повыше, будет ещё лучше. но если не достаточно только голосовых подсказок и надо смотреть на карту, то тогда да, таки надо поворачивать навик на себя и камера при этом будет снимать больше вправо."
,"Первое впечетление от покупки - деньги на ветер, 1) Навигатор. Очень плохо, В девайсе установлена последняя версия По от Навител и последняя версия карты , обновляться уже некуда, при этом в моем городе он видит всего 3 улицы, в общем карта ,как уже здесь писали в нем обзорная, там где улицы не прописаны даже не отрисована сетка дорог , тупо пятно с очертаниями, камера для меня не столь важна была в плане настроек ,лишбы видно было ,но как не крути в левом углу часть присоски загораживает обзор, пробывал крепить слева, мне не удобно имхо, да и проблему это полностью не решает. Итого: ПО навигатора поменял (+100грн за лицензию Libelle), как навигатор стал меня устраивать, для сравнения карта в навителе весит даже если округлить 300 Мб, в либле 1 Гб, т.е понятно где информативнее, в мелких селах либл улицы тоже не прописаны ,но видна сетка дорог хоть по тупикам разворачиваться не прийдется+ надеемся на обновления, с попаданием присоски в кадр - решается заменой стандартного кронштейна, пока не напрягает ,но если увижу подходящий куплю, приятная для меня функция в девайсе оказалась блю туз и возможность использовать его как хендс фри, очень полезная вещь. Итого : если бы выбирал сейчас навигатор, брал бы сразу с картами от либелл, смотрел бы на наличие блю туза, хендс фри очень полезная весч, если конечно Вы не ползуетесь уже гарнитурой, ну и присоска в кадре ,для меня не кретично, но если кому видеорегистратор важнее чем навигация имейте в виду."
,"Вещь неплохая. Из &quot;минусов&quot; про слабую батарею уже писали. Кроме этого, практически невозможно подобрать ракурс регистратора, чтобы в камеру не попадал крепёж навигатора.... Всё же лучше, когда регистратор и навигатор - два разных аппарата. И, наверное, база данных навигатора обновляется не так часто как хочется: дом, в котором я живу сдан в эксплуатацию летом 2012 года, а в &quot;базе&quot; навигатора его ещё нет..."
,"очень полезная и классная вещь! Не раз выручала меня в самых разных дорожных ситуациях."
,"Подключается ли камера заднего вида?"
,"Перестав бачити верхню флешку Що робити?"
,"Кронштейн не продуман для видеорегистратора!!! Как ни крутил - снимает свой кронштейн на 30% картинки... Расстроился..."
,"Взял вчера этот девайс...Вот почему нигде в описании не указано, что на нем установлена обзорная карта Украины! Я живу в г. Краматорск Донецкой области, так эта карта видит всего 4 улицы в городе с населением 210 тыс.чел. Соседние, более мелкие города - видит просто как точку на карте, ни о какой подробности карты речь не идет, просто атлас..."
,"Только получил, включил, а карты нет! Ни какой! Как скачать и где скачать на этот навигатор карту Украины. Паренек по телефону сказал, мол скачайте сами, если не получится - отправите нам, мы посмотрим. А где и как эти карты качать и каких устанавливать?!"
5,"Хороший навигатор. Все просто :D Пробыл у меня всего три месяца. Ночью разбили мне окно боковое и выпотрошили бардачок. Увы :("
,"можно ли подключить камеру заднего вида к нему???"
,"Подскажите, кто уже пользуется: 1) удобно ли регулировать направление видео регистратора (на дорогу) и при этом смотреть на навигатор? 2) пробовал ли кто подключать к разъему av-in камеру заднего вида?"
,"Экран хороший. По краям нажимается четко. РЕагирует быстро. Спутники ловит моментально. Регистратор пишет четко и без сбоев. Пишет видео с внесением данных от ЖПС - сорость и прочие координаты."
,"Есть ли перезапись роликов, если память заполнена? Что произойдет при заполнении памяти?"
,"Подскажите. Работает ли видеорегистратор паралельно с навигацией?"
,"А iGo сюда можно поставить?"
,"А можно ли сюда поставить iGo, дополнительно к Навител?"
,"Видео снимает отлично. Номера видно. Навител лицензионный. Украина. Россию не ставил пока ещё. Экран матовый, с бортиками, не затянут декоративной пластиковой пленкой. Изза этого не бликует вообще и нажимается четко даже под самим бортиком. Рекомендую покупать карточку для регистратора 16Гб и покачественнее и подороже."
,"Как на счот кредитов? Кто в курсе подскажите??"
,"Был рад покупке, пока дело не дошло до видеорегистратора. Качество съемки радует, но тут же понял что с навигатором проблема. Просмотреть можно только первых 2 файла. Все остальные с ошибкой. Я не знаю что делать."
,"Всё нравиться, отличный девайс, очен доволен покупкой. Вот только еще не разобрался с видеорегистратором. Некоторые видяшки выдают ошибку при просмотре их на компе. Пробовал всевозможными проигрователями, и кодеки ставил разные. А вот насчёт зарядки от прикуривателя нужно подумать. Может можно урезать пружинку, что бы не выталкивала так сильно зарядку."
